"fileNames","groups"
"GSM5663298_C19_Clariom_S_Mouse_.CEL","C19"
"GSM5663299_C20_Clariom_S_Mouse_.CEL","C20"
"GSM5663300_C21_Clariom_S_Mouse_.CEL","C21"
"GSM5663301_C24_Clariom_S_Mouse_.CEL","C24"
"GSM5663302_C25_Clariom_S_Mouse_.CEL","C25"
"GSM5663303_M28_Clariom_S_Mouse_.CEL","M28"
"GSM5663304_M31_Clariom_S_Mouse_.CEL","M31"
"GSM5663305_M33_Clariom_S_Mouse_.CEL","M33"
"GSM5663306_M34_Clariom_S_Mouse_.CEL","M34"
"GSM5663307_M35_Clariom_S_Mouse_.CEL","M35"
"GSM5663308_P10_Clariom_S_Mouse_.CEL","P10"
"GSM5663309_P12_Clariom_S_Mouse_.CEL","P12"
"GSM5663310_P14_Clariom_S_Mouse_.CEL","P14"
"GSM5663311_P15_Clariom_S_Mouse_.CEL","P15"
"GSM5663312_P17_Clariom_S_Mouse_.CEL","P17"
"GSM5663313_MP1_Clariom_S_Mouse_.CEL","MP1"
"GSM5663314_MP2_Clariom_S_Mouse_.CEL","MP2"
"GSM5663315_MP3_Clariom_S_Mouse_.CEL","MP3"
"GSM5663316_MP4_Clariom_S_Mouse_.CEL","MP4"
"GSM5663317_MP8_Clariom_S_Mouse_.CEL","MP8"
