"","fileNames","shortName","grupo","colores"
"S1.SINT","GSM5374839_S1.CEL","S1.SINT","SINT","red"
"S2.SINT","GSM5374840_S2.CEL","S2.SINT","SINT","red"
"S3.SINT","GSM5374841_S3.CEL","S3.SINT","SINT","red"
"S4.SINT","GSM5374842_S4.CEL","S4.SINT","SINT","red"
"S5.SINT","GSM5374843_S5.CEL","S5.SINT","SINT","red"
"S6.SINT","GSM5374844_S6.CEL","S6.SINT","SINT","red"
"S7.SINT","GSM5374845_S7.CEL","S7.SINT","SINT","red"
"S8.SINT","GSM5374846_S8.CEL","S8.SINT","SINT","red"
"S9.SINT","GSM5374847_S9.CEL","S9.SINT","SINT","red"
"S10.SINT","GSM5374848_S10.CEL","S10.SINT","SINT","red"
"S11.SINT","GSM5374849_S11.CEL","S11.SINT","SINT","red"
"S12.ASINT","GSM5374850_S12.CEL","S12.ASINT","ASINT","green"
"S13.ASINT","GSM5374851_S13.CEL","S13.ASINT","ASINT","green"
"S14.ASINT","GSM5374852_S14.CEL","S14.ASINT","ASINT","green"
"S15.ASINT","GSM5374853_S15.CEL","S15.ASINT","ASINT","green"
"S16.ASINT","GSM5374854_S16.CEL","S16.ASINT","ASINT","green"
"S17.ASINT","GSM5374855_S17.CEL","S17.ASINT","ASINT","green"
"S18.ASINT","GSM5374856_S18.CEL","S18.ASINT","ASINT","green"
"S19.ASINT","GSM5374857_S19.CEL","S19.ASINT","ASINT","green"
"S20.ASINT","GSM5374858_S20.CEL","S20.ASINT","ASINT","green"
"S21.ASINT","GSM5374859_S21.CEL","S21.ASINT","ASINT","green"
"S22.ASINT","GSM5374860_S22.CEL","S22.ASINT","ASINT","green"
"S23.ASINT","GSM5374861_S23.CEL","S23.ASINT","ASINT","green"
"S24.ASINT","GSM5374862_S24.CEL","S24.ASINT","ASINT","green"
"S25.ASINT","GSM5374863_S25.CEL","S25.ASINT","ASINT","green"
"S26.ASINT","GSM5374864_S26.CEL","S26.ASINT","ASINT","green"
"S27.ASINT","GSM5374865_S27.CEL","S27.ASINT","ASINT","green"
"S28.ASINT","GSM5374866_S28.CEL","S28.ASINT","ASINT","green"
"S29.ASINT","GSM5374867_S29.CEL","S29.ASINT","ASINT","green"
"S30.SANO","GSM5374868_S30.CEL","S30.SANO","SANO","blue"
"S31.SANO","GSM5374869_S31.CEL","S31.SANO","SANO","blue"
"S32.SANO","GSM5374870_S32.CEL","S32.SANO","SANO","blue"
"S33.SANO","GSM5374871_S33.CEL","S33.SANO","SANO","blue"
"S34.SANO","GSM5374872_S34.CEL","S34.SANO","SANO","blue"
"S35.SANO","GSM5374873_S35.CEL","S35.SANO","SANO","blue"
"S36.SANO","GSM5374874_S36.CEL","S36.SANO","SANO","blue"
"S37.SANO","GSM5374875_S37.CEL","S37.SANO","SANO","blue"
"S38.SANO","GSM5374876_S38.CEL","S38.SANO","SANO","blue"
"S39.SANO","GSM5374877_S39.CEL","S39.SANO","SANO","blue"
"S40.SANO","GSM5374878_S40.CEL","S40.SANO","SANO","blue"
"S41.SANO","GSM5374879_S41.CEL","S41.SANO","SANO","blue"
"S42.SANO","GSM5374880_S42.CEL","S42.SANO","SANO","blue"
"S43.SANO","GSM5374881_S43.CEL","S43.SANO","SANO","blue"
"S44.SANO","GSM5374882_S44.CEL","S44.SANO","SANO","blue"
"S45.SANO","GSM5374883_S45.CEL","S45.SANO","SANO","blue"
"S46.SANO","GSM5374884_S46.CEL","S46.SANO","SANO","blue"
"S47.SANO","GSM5374885_S47.CEL","S47.SANO","SANO","blue"
